Unnamed: 0,ts_code,trade_date,open,close,high,low,pre_close,vol
326,SPX,20211210,4687.64,4712.02,4713.57,4670.24,4667.45,2117224.0
327,SPX,20211209,4691.0,4667.45,4695.26,4665.98,4701.21,1992703.0
328,SPX,20211208,4690.86,4701.21,4705.06,4674.52,4686.75,2163749.0
329,SPX,20211207,4631.97,4686.75,4694.04,4631.97,4591.67,2484136.0
330,SPX,20211206,4548.37,4591.67,4612.6,4540.51,4538.43,2582325.0
331,SPX,20211203,4589.49,4538.43,4608.03,4495.12,4577.1,2714490.0
332,SPX,20211202,4504.73,4577.1,4595.46,4504.73,4513.04,2801049.0
333,SPX,20211201,4602.82,4513.04,4652.94,4510.27,4567.0,3044912.0
334,SPX,20211130,4640.25,4567.0,4646.02,4560.0,4655.27,4068051.0
335,SPX,20211129,4628.75,4655.27,4672.95,4625.26,4594.62,2497292.0
336,SPX,20211126,4664.63,4594.62,4664.63,4585.43,4701.46,2098273.0
337,SPX,20211124,4675.78,4701.46,4702.87,4659.89,4690.7,1851489.0
338,SPX,20211123,4678.48,4690.7,4699.39,4652.66,4682.94,2228891.0
339,SPX,20211122,4712.0,4682.94,4743.83,4682.17,4697.96,2466152.0
340,SPX,20211119,4708.44,4697.96,4717.75,4694.22,4704.54,2442415.0
341,SPX,20211118,4700.72,4704.54,4708.8,4672.78,4688.67,2223167.0
342,SPX,20211117,4701.5,4688.67,4701.5,4684.41,4700.9,2057331.0
343,SPX,20211116,4679.42,4700.9,4714.95,4679.42,4682.8,1929155.0
344,SPX,20211115,4689.3,4682.8,4697.42,4672.86,4682.85,1829913.0
345,SPX,20211112,4655.24,4682.85,4688.47,4650.77,4649.27,1871664.0
346,SPX,20211111,4659.39,4649.27,4664.55,4648.31,4646.71,1728459.0
347,SPX,20211110,4670.26,4646.71,4684.85,4630.86,4685.25,2141663.0
348,SPX,20211109,4707.25,4685.25,4708.53,4670.87,4701.7,2067398.0
349,SPX,20211108,4701.48,4701.7,4714.92,4694.39,4697.53,2205667.0
350,SPX,20211105,4699.26,4697.53,4718.5,4681.32,4680.06,2595130.0
351,SPX,20211104,4662.93,4680.06,4683.0,4662.59,4660.57,2557600.0
352,SPX,20211103,4630.65,4660.57,4663.46,4621.19,4630.65,2150893.0
353,SPX,20211102,4613.34,4630.65,4635.15,4613.34,4613.67,2146674.0
354,SPX,20211101,4610.62,4613.67,4620.34,4595.06,4605.38,2030764.0
355,SPX,20211029,4572.87,4605.38,4608.08,4567.59,4596.42,2346011.0
356,SPX,20211028,4562.84,4596.42,4597.55,4562.84,4551.68,2177360.0
357,SPX,20211027,4580.22,4551.68,4584.57,4551.66,4574.79,2243579.0
358,SPX,20211026,4578.69,4574.79,4598.53,4569.17,4566.48,2016844.0
359,SPX,20211025,4553.69,4566.48,4572.62,4537.36,4544.9,1849566.0
360,SPX,20211022,4546.12,4544.9,4559.67,4524.0,4549.78,1818771.0
361,SPX,20211021,4532.24,4549.78,4551.44,4526.89,4536.19,1898356.0
362,SPX,20211020,4524.42,4536.19,4540.87,4524.4,4519.63,1837718.0
363,SPX,20211019,4497.34,4519.63,4520.4,4496.41,4486.46,1701420.0
364,SPX,20211018,4463.72,4486.46,4488.75,4447.47,4471.37,1871564.0
365,SPX,20211015,4447.69,4471.37,4475.82,4447.69,4438.26,2052344.0
366,SPX,20211014,4386.75,4438.26,4439.73,4386.75,4363.8,1945035.0
367,SPX,20211013,4358.01,4363.8,4372.87,4329.92,4350.65,1939400.0
368,SPX,20211012,4368.31,4350.65,4374.89,4342.09,4361.19,1962096.0
369,SPX,20211011,4385.44,4361.19,4415.88,4360.59,4391.34,1695135.0
370,SPX,20211008,4406.51,4391.34,4412.02,4386.22,4399.76,1694087.0
371,SPX,20211007,4383.73,4399.76,4429.97,4383.73,4363.55,1949575.0
372,SPX,20211006,4319.57,4363.55,4365.57,4290.49,4345.72,2060091.0
373,SPX,20211005,4309.87,4345.72,4369.23,4309.87,4300.46,2029396.0
374,SPX,20211004,4348.84,4300.46,4355.51,4278.94,4357.04,2438455.0
375,SPX,20211001,4317.16,4357.04,4375.19,4288.52,4307.54,2207767.0
376,SPX,20210930,4370.67,4307.54,4382.55,4306.24,4359.46,2283949.0
377,SPX,20210929,4362.41,4359.46,4385.57,4355.08,4352.63,1897856.0
378,SPX,20210928,4419.54,4352.63,4419.54,4346.33,4443.11,2385159.0
379,SPX,20210927,4442.12,4443.11,4457.3,4436.19,4455.48,2043570.0
380,SPX,20210924,4438.04,4455.48,4463.12,4430.27,4448.98,1686869.0
381,SPX,20210923,4406.75,4448.98,4465.4,4406.75,4395.64,1967080.0
382,SPX,20210922,4367.43,4395.64,4416.75,4367.43,4354.19,2003484.0
383,SPX,20210921,4374.45,4354.19,4394.87,4347.96,4357.73,1914740.0
384,SPX,20210920,4402.95,4357.73,4402.95,4305.91,4432.99,2598257.0
385,SPX,20210917,4469.74,4432.99,4471.52,4427.76,4473.75,3786002.0
386,SPX,20210916,4477.09,4473.75,4485.87,4443.8,4480.7,1831249.0
387,SPX,20210915,4447.49,4480.7,4486.87,4438.37,4443.05,2126051.0
388,SPX,20210914,4479.33,4443.05,4485.68,4435.46,4468.73,2024367.0
389,SPX,20210913,4474.81,4468.73,4492.99,4445.7,4458.58,2032597.0
390,SPX,20210910,4506.92,4458.58,4520.47,4457.66,4493.28,1848742.0
391,SPX,20210909,4513.02,4493.28,4529.9,4492.07,4514.07,1818752.0
392,SPX,20210908,4518.09,4514.07,4521.79,4493.95,4520.03,1784366.0
393,SPX,20210907,4535.38,4520.03,4535.38,4513.0,4535.43,1781739.0
394,SPX,20210903,4532.42,4535.43,4541.45,4521.3,4536.95,1533435.0
395,SPX,20210902,4534.48,4536.95,4545.85,4524.66,4524.09,1782043.0
396,SPX,20210901,4528.8,4524.09,4537.11,4522.02,4522.68,1933544.0
397,SPX,20210831,4529.75,4522.68,4531.39,4515.8,4528.79,2161739.0
398,SPX,20210830,4513.76,4528.79,4537.36,4513.76,4509.37,1566529.0
399,SPX,20210827,4474.1,4509.37,4513.33,4474.1,4470.0,1668130.0
400,SPX,20210826,4493.75,4470.0,4495.9,4468.99,4496.19,1641319.0
401,SPX,20210825,4490.45,4496.19,4501.71,4485.66,4486.23,1771233.0
402,SPX,20210824,4484.4,4486.23,4492.81,4482.28,4479.53,1746057.0
403,SPX,20210823,4450.29,4479.53,4489.88,4450.29,4441.67,1854459.0
404,SPX,20210820,4410.56,4441.67,4444.35,4406.8,4405.8,1813101.0
405,SPX,20210819,4382.44,4405.8,4418.61,4367.73,4400.27,2207012.0
406,SPX,20210818,4440.94,4400.27,4454.32,4397.59,4448.08,1892721.0
407,SPX,20210817,4462.12,4448.08,4462.12,4417.83,4479.71,1912467.0
408,SPX,20210816,4461.65,4479.71,4480.26,4437.66,4468.0,1733041.0
409,SPX,20210813,4464.84,4468.0,4468.37,4460.82,4460.83,1537574.0
410,SPX,20210812,4446.08,4460.83,4461.77,4435.96,4447.7,1636025.0
411,SPX,20210811,4442.18,4447.7,4449.44,4436.42,4436.75,1872241.0
412,SPX,20210810,4435.79,4436.75,4445.21,4430.03,4432.35,1914892.0
413,SPX,20210809,4437.77,4432.35,4439.39,4424.74,4436.52,1717391.0
414,SPX,20210806,4429.07,4436.52,4440.82,4429.07,4429.1,1834530.0
415,SPX,20210805,4408.86,4429.1,4429.76,4408.86,4402.66,1965927.0
416,SPX,20210804,4415.95,4402.66,4416.17,4400.23,4423.15,2321431.0
417,SPX,20210803,4392.74,4423.15,4423.79,4373.0,4387.16,2204135.0
418,SPX,20210802,4406.86,4387.16,4422.18,4384.81,4395.26,1981528.0
419,SPX,20210730,4395.12,4395.26,4412.25,4389.65,4419.15,2246067.0
420,SPX,20210729,4403.59,4419.15,4429.97,4403.59,4400.64,2009413.0
421,SPX,20210728,4402.95,4400.64,4415.47,4387.01,4401.46,2092509.0
422,SPX,20210727,4416.38,4401.46,4416.38,4372.51,4422.3,2073481.0
423,SPX,20210726,4409.58,4422.3,4422.73,4405.45,4411.79,1802326.0
